"playername","average_runs","iplseasonplayed"
"V Kohli","88170","13"
"CH Gayle","71032","13"
"AB de Villiers","70980","13"
"RG Sharma","70148","13"
"SK Raina","63925","13"
"G Gambhir","59463","13"
"MS Dhoni","56226","13"
"RV Uthappa","55584","13"
"AT Rayudu","54746","13"
"DA Warner","54199","13"
